"","Year","Council","ClaimantsAsPropOf16_65Pop","ClaimantCountAged16_24AtMarch","Population16_24","Proportion16_24AreClaimants"
"96","2011/12","West Lothian",4.1,1590,19151,8.3
"97","2012/13","Aberdeen City",1.9,710,34883,2
"98","2012/13","Aberdeenshire",1.2,535,25351,2.1
"99","2012/13","Angus",3,615,11637,5.3
"100","2012/13","Argyll and Bute",3.6,485,8254,5.9
"101","2012/13","Clackmannanshire",5.4,550,5399,10.2
"102","2012/13","Dumfries and Galloway",3.9,1085,14646,7.4
"103","2012/13","Dundee City",5.7,1500,24359,6.2
"104","2012/13","East Ayrshire",5.9,1355,13479,10.1
"105","2012/13","East Dunbartonshire",2.5,505,11754,4.3
"106","2012/13","East Lothian",3.3,640,10719,6
"107","2012/13","East Renfrewshire",2.4,410,10123,4.1
"108","2012/13","City of Edinburgh",3.4,2615,70320,3.7
"109","2012/13","Na h-Eileanan Siar",3,85,2440,3.5
"110","2012/13","Falkirk",4.5,1255,16381,7.7
"111","2012/13","Fife",4.7,3255,42521,7.7
"112","2012/13","Glasgow City",5.7,6015,87667,6.9
"113","2012/13","Highland",2.9,980,22198,4.4
"114","2012/13","Inverclyde",5.4,765,9007,8.5
"115","2012/13","Midlothian",4.1,695,8991,7.7
"116","2012/13","Moray",2.4,415,9725,4.3
"117","2012/13","North Ayrshire",6.7,1635,14934,10.9
"118","2012/13","North Lanarkshire",5.3,3295,38031,8.7
"119","2012/13","Orkney Islands",1.4,65,2162,3
"120","2012/13","Perth and Kinross",2.3,610,14718,4.1
"121","2012/13","Renfrewshire",5,1505,19383,7.8
"122","2012/13","Scottish Borders",3.2,705,10369,6.8
"123","2012/13","Shetland Islands",1.6,60,2409,2.5
"124","2012/13","South Ayrshire",4.5,870,11279,7.7
"125","2012/13","South Lanarkshire",4.6,2700,33059,8.2
"126","2012/13","Stirling",3.2,535,12904,4.1
"127","2012/13","West Dunbartonshire",6.5,1035,10345,10
"128","2012/13","West Lothian",4.3,1450,19165,7.6
"129","2013/14","Aberdeen City",1.5,475,34537,1.4
"130","2013/14","Aberdeenshire",0.8,365,25482,1.4
"131","2013/14","Angus",2.1,455,11762,3.9
"132","2013/14","Argyll and Bute",2.8,345,8806,3.9
"133","2013/14","Clackmannanshire",4.4,420,5348,7.9
"134","2013/14","Dumfries and Galloway",3,730,14459,5
"135","2013/14","Dundee City",4.6,1145,24146,4.7
"136","2013/14","East Ayrshire",4.9,1045,13346,7.8
"137","2013/14","East Dunbartonshire",1.7,300,11559,2.6
"138","2013/14","East Lothian",2.6,480,10747,4.5
"139","2013/14","East Renfrewshire",1.6,255,10124,2.5
"140","2013/14","City of Edinburgh",2.6,1930,69276,2.8
"141","2013/14","Na h-Eileanan Siar",3,80,2450,3.3
"142","2013/14","Falkirk",3.6,920,16256,5.7
"143","2013/14","Fife",3.7,2400,42429,5.7
"144","2013/14","Glasgow City",4.4,4390,85428,5.1
"145","2013/14","Highland",2.3,720,22053,3.3
"146","2013/14","Inverclyde",4,510,8899,5.7
"147","2013/14","Midlothian",3,505,8884,5.7
"148","2013/14","Moray",1.9,310,9957,3.1
"149","2013/14","North Ayrshire",5.5,1155,14790,7.8
"150","2013/14","North Lanarkshire",4.2,2500,37871,6.6
